vendas_id,data,produto_id,qtd_vendida,dia_semana,eh_feriado,clima,temp_media_c,evento_regiao
V500,2026-06-01,101,23.94,Segunda,1,Ensolarado,31.2,0
V501,2026-06-02,101,16.57,Terça,0,Ensolarado,17.7,0
V502,2026-06-03,101,16.74,Quarta,0,Ensolarado,29.7,0
V503,2026-06-04,101,14.3,Quinta,0,Ensolarado,31.5,0
V504,2026-06-05,101,23.29,Sexta,0,Frio,18.6,0
V505,2026-06-06,101,19.23,Sábado,0,Chuvoso,22.3,0
V506,2026-06-07,101,22.28,Domingo,0,Nublado,17.4,0
V507,2026-06-08,101,5.0,Segunda,0,Chuvoso,28.3,0
V508,2026-06-09,101,10.37,Terça,0,Ensolarado,23.7,0
V509,2026-06-10,101,12.33,Quarta,0,Nublado,17.9,0
V510,2026-06-11,101,10.2,Quinta,0,Ensolarado,31.1,0
V511,2026-06-12,101,24.12,Sexta,0,Nublado,22.5,0
V512,2026-06-13,101,32.47,Sábado,0,Chuvoso,15.6,1
V513,2026-06-14,101,21.34,Domingo,0,Ensolarado,23.8,0
V514,2026-06-15,101,11.22,Segunda,0,Chuvoso,18.1,0
V515,2026-06-16,101,22.51,Terça,1,Ensolarado,18.3,0
V516,2026-06-17,101,7.56,Quarta,0,Ensolarado,20.5,0
V517,2026-06-18,101,9.84,Quinta,0,Frio,21.1,0
V518,2026-06-19,101,26.75,Sexta,0,Ensolarado,24.2,0
V519,2026-06-20,101,27.66,Sábado,0,Nublado,28.1,0
V520,2026-06-21,101,25.99,Domingo,0,Ensolarado,17.0,0
V521,2026-06-22,101,14.93,Segunda,0,Ensolarado,16.1,0
V522,2026-06-23,101,14.44,Terça,0,Ensolarado,20.5,0
V523,2026-06-24,101,16.07,Quarta,0,Frio,23.0,0
V524,2026-06-25,101,13.08,Quinta,0,Ensolarado,27.1,0
V525,2026-06-26,101,37.61,Sexta,0,Nublado,23.4,1
V526,2026-06-27,101,22.26,Sábado,0,Chuvoso,15.4,0
V527,2026-06-28,101,24.1,Domingo,0,Ensolarado,23.6,0
V528,2026-06-29,101,16.43,Segunda,0,Frio,19.2,0
V529,2026-06-30,101,10.45,Terça,0,Ensolarado,16.3,0
V530,2026-07-01,101,24.75,Quarta,1,Ensolarado,17.7,0
V531,2026-07-02,101,12.99,Quinta,0,Frio,18.2,0
V532,2026-07-03,101,32.07,Sexta,0,Frio,24.2,1
V533,2026-07-04,101,27.02,Sábado,0,Ensolarado,18.9,0
V534,2026-07-05,101,25.02,Domingo,0,Frio,29.6,0
V535,2026-07-06,101,8.3,Segunda,0,Chuvoso,18.8,0
V536,2026-07-07,101,11.52,Terça,0,Ensolarado,20.7,0
V537,2026-07-08,101,10.21,Quarta,0,Chuvoso,27.0,0
V538,2026-07-09,101,6.24,Quinta,0,Ensolarado,31.5,0
V539,2026-07-10,101,32.92,Sexta,0,Ensolarado,15.6,1
V540,2026-07-11,101,21.42,Sábado,0,Chuvoso,15.9,0
V541,2026-07-12,101,25.9,Domingo,0,Ensolarado,23.3,0
V542,2026-07-13,101,15.43,Segunda,0,Frio,19.1,0
V543,2026-07-14,101,14.26,Terça,0,Ensolarado,27.4,0
V544,2026-07-15,101,13.76,Quarta,0,Ensolarado,25.7,0
V545,2026-07-16,101,28.57,Quinta,1,Ensolarado,29.2,0
V546,2026-07-17,101,30.12,Sexta,0,Ensolarado,18.2,0
V547,2026-07-18,101,27.62,Sábado,0,Ensolarado,23.7,0
V548,2026-07-19,101,22.24,Domingo,0,Nublado,18.0,0
V549,2026-07-20,101,16.65,Segunda,0,Frio,17.3,0
V550,2026-07-21,101,14.44,Terça,0,Ensolarado,16.9,0
V551,2026-07-22,101,8.31,Quarta,0,Frio,24.4,0
V552,2026-07-23,101,9.78,Quinta,0,Chuvoso,19.1,0
V553,2026-07-24,101,35.35,Sexta,0,Ensolarado,20.9,1
V554,2026-07-25,101,30.96,Sábado,0,Frio,30.1,1
V555,2026-07-26,101,25.7,Domingo,0,Ensolarado,30.3,0
V556,2026-07-27,101,12.88,Segunda,0,Nublado,15.2,0
V557,2026-07-28,101,9.86,Terça,0,Ensolarado,17.7,0
V558,2026-07-29,101,5.43,Quarta,0,Chuvoso,26.8,0
V559,2026-07-30,101,13.97,Quinta,0,Nublado,19.0,0
V560,2026-07-31,101,44.27,Sexta,1,Ensolarado,27.7,1
V561,2026-08-01,101,24.82,Sábado,0,Chuvoso,16.6,0
V562,2026-08-02,101,24.77,Domingo,0,Ensolarado,19.1,0
V563,2026-08-03,101,13.02,Segunda,0,Frio,25.7,0
V564,2026-08-04,101,11.21,Terça,0,Nublado,23.5,0
V565,2026-08-05,101,20.16,Quarta,0,Ensolarado,27.3,0
V566,2026-08-06,101,8.79,Quinta,0,Ensolarado,15.4,0
V567,2026-08-07,101,34.45,Sexta,0,Frio,31.2,1
V568,2026-08-08,101,34.42,Sábado,0,Ensolarado,15.3,1
V569,2026-08-09,101,24.78,Domingo,0,Frio,29.5,0
V570,2026-08-10,101,10.66,Segunda,0,Ensolarado,21.5,0
V571,2026-08-11,101,14.57,Terça,0,Ensolarado,24.5,0
V572,2026-08-12,101,9.35,Quarta,0,Frio,26.8,0
V573,2026-08-13,101,12.46,Quinta,0,Nublado,31.8,0
V574,2026-08-14,101,35.62,Sexta,0,Ensolarado,23.8,1
V575,2026-08-15,101,38.2,Sábado,1,Nublado,21.1,0
V576,2026-08-16,101,26.55,Domingo,0,Frio,28.8,0
V577,2026-08-17,101,23.56,Segunda,0,Nublado,26.0,0
V578,2026-08-18,101,11.05,Terça,0,Nublado,28.5,0
V579,2026-08-19,101,14.28,Quarta,0,Ensolarado,16.6,0
V580,2026-08-20,101,15.94,Quinta,0,Chuvoso,15.6,0
V581,2026-08-21,101,19.4,Sexta,0,Ensolarado,25.0,0
V582,2026-08-22,101,25.19,Sábado,0,Ensolarado,29.0,0
V583,2026-08-23,101,21.77,Domingo,0,Nublado,18.7,0
V584,2026-08-24,101,12.14,Segunda,0,Nublado,16.5,0
V585,2026-08-25,101,7.05,Terça,0,Chuvoso,25.8,0
V586,2026-08-26,101,5.92,Quarta,0,Nublado,31.6,0
V587,2026-08-27,101,12.56,Quinta,0,Nublado,19.6,0
V588,2026-08-28,101,19.68,Sexta,0,Chuvoso,16.3,0
V589,2026-08-29,101,29.98,Sábado,0,Ensolarado,17.7,0
